x, y
50.66524474727621, 4.95956566909388e-11
54.61586804684169, 5.2993258360003126e-11
59.120640496153925, 5.788818432690925e-11
66.16863473875804, 6.323524894244725e-11
75.61765207427037, 6.609123767732884e-11
90.85175756516867, 8.242655448825874e-11
105.57248023438451, 9.620849683234654e-11
124.22325321243576, 1.1229481712787251e-10
148.00958982296646, 1.2820757007713678e-10
169.14566412132402, 1.4964422177086237e-10
197.37396019462838, 1.7466513947603817e-10
231.27592934959912, 1.9505984092630589e-10
263.20240607048777, 2.1783592110213466e-10
303.3081345329163, 2.5993700190923626e-10
342.31055438959504, 2.777442546096466e-10
396.1193766518132, 3.388254464038976e-10
456.4784607342342, 3.868387542256615e-10
510.89697745069293, 4.2257060242041164e-10
596.1592939123789, 4.824510294242753e-10
707.3554127809363, 5.756941900219135e-10
832.3190888192696, 7.179845648236784e-10
963.1538216120975, 8.38033521592273e-10
1114.5548582839508, 9.56787180339622e-10
1367.3181074491545, 1.1672026985678622e-9
1569.1056055902118, 1.3623621395440997e-9
1830.9697085512646, 1.6256654470761463e-9
1226.7840360539778, 1.0923688431017594e-9
1684.4156792479569, 1.4882019542594258e-9
648.0286440412508, 5.508168208089693e-10
772.1135239797186, 6.429148796647995e-10
555.348006686961, 4.5151923784282394e-10
423.45922095615794, 3.701223609016627e-10
367.4661940736688, 3.1017494552646663e-10
135.03140378698737, 1.1998768951947125e-10
210.99655393660603, 1.8663075519737466e-10
247.2384100371281, 2.084226167279958e-10
183.86232754447119, 1.5989575369074062e-10
81.174624784995, 7.219600884074711e-11
97.93592486829267, 8.807327070878775e-11
115.7192997914334, 1.0055370599572235e-10
157.56645642989116, 1.3107081358683793e-10
70.44109314173726, 6.323524894244725e-11
62.67602560047386, 6.050267553371818e-11
86.05628792983366, 7.714187096866819e-11
279.03081905977285, 2.3795717312034497e-10
321.54841769777056, 2.777442546096466e-10
886.0612991433239, 7.843039684413648e-10
1033.9338492393995, 8.758828910048772e-10
1467.7992676220706, 1.2199188310127137e-9
1289.7550777975907, 1.0923688431017594e-9
